iter	R2	RMSE
0	0.08220820099	0.6263958242
1	0.1484190038	0.6033783848
2	0.209912907	0.5811848048
3	0.2651757261	0.5604908338
4	0.3183290898	0.5398388654
5	0.3665863004	0.5203798764
6	0.411161187	0.5017356749
7	0.4530987844	0.4835386703
8	0.4899552474	0.4669613216
9	0.5239270869	0.4511422526
10	0.5558757159	0.435741604
11	0.5862084069	0.4205983833
12	0.6127277711	0.4068974283
13	0.6376954578	0.3935624513
14	0.6570362584	0.3829136708
15	0.6771774952	0.3714998724
16	0.6958797407	0.360578181
17	0.7132368095	0.3501373732
18	0.7276992119	0.3411938675
19	0.7400074489	0.3333935705
20	0.7519099298	0.3256727778
21	0.7634974521	0.3179762472
22	0.7743334438	0.3106063772
23	0.7829936522	0.3045881383
24	0.7918656664	0.298296825
25	0.799926815	0.2924631885
26	0.8063166883	0.2877549934
27	0.8121949455	0.2833546903
28	0.8182827539	0.2787243047
29	0.8233259071	0.2748294081
30	0.8287201001	0.2706013555
31	0.8333076304	0.2669528905
32	0.8373866237	0.2636664677
33	0.8409149368	0.2607903216
34	0.844354181	0.2579559187
35	0.8478859658	0.2550124652
36	0.8511118883	0.2522939165
37	0.8539607954	0.2498684927
38	0.8562992848	0.2478598784
39	0.8586932968	0.2457865704
40	0.8606037135	0.2441194427
41	0.8627091312	0.2422688591
42	0.8649896435	0.2402482924
43	0.8669351841	0.2385109852
44	0.868679127	0.2369428719
45	0.8699776859	0.2357684635
46	0.8718074359	0.2341036499
47	0.8732781573	0.2327568694
48	0.8748807511	0.2312804011
49	0.8763577307	0.2299112651
50	0.8774831639	0.2288625086
51	0.8788613489	0.2275716373
52	0.8796930265	0.2267890952
53	0.8805209499	0.2260073942
54	0.8813278436	0.2252429386
55	0.8821719502	0.2244404405
56	0.8829000019	0.2237459647
57	0.8838268879	0.222858693
58	0.8844365214	0.222273184
59	0.8849160453	0.2218115497
60	0.8853998286	0.2213448395
61	0.8858887552	0.2208721654
62	0.886481994	0.2202972848
63	0.8871142122	0.2196829752
64	0.8876304591	0.2191800748
65	0.8880943197	0.2187272201
66	0.8884967488	0.2183335785
67	0.8892183328	0.217625968
68	0.8895367928	0.2173129422
69	0.8899856121	0.2168710144
70	0.8903431293	0.2165183414
71	0.8907349284	0.2161311901
72	0.891071855	0.2157977049
73	0.8912168982	0.2156539844
74	0.891609853	0.215264131
75	0.891933661	0.2149423471
76	0.8922022064	0.2146751146
77	0.8925966577	0.2142819874
78	0.8929045429	0.2139746339
79	0.8932264089	0.2136528509
80	0.8937290281	0.2131493898
81	0.8939587562	0.2129188805
82	0.8941746848	0.2127019899
83	0.8944901711	0.2123846998
84	0.8947456842	0.2121273779
85	0.8950467681	0.2118237615
86	0.8952875722	0.2115806184
87	0.8955441575	0.2113212328
88	0.8958095494	0.2110526092
89	0.896045137	0.2108138661
90	0.8962870972	0.2105683831
91	0.8966288719	0.2102211441
92	0.8968251479	0.2100214706
93	0.8970387631	0.2098039417
94	0.897277659	0.2095604014
95	0.897628491	0.209202235
96	0.8978425492	0.2089834003
97	0.8980047338	0.2088174439
98	0.8981327801	0.2086863266
99	0.8983222478	0.2084921635
