iter	Passed	Remaining
0	99	9845
1	111	5463
2	132	4275
3	148	3563
4	165	3138
5	176	2758
6	197	2630
7	215	2476
8	231	2336
9	257	2316
10	274	2224
11	285	2090
12	302	2027
13	320	1969
14	337	1910
15	349	1835
16	371	1815
17	398	1816
18	409	1746
19	422	1691
20	441	1660
21	466	1653
22	478	1603
23	503	1593
24	519	1559
25	545	1553
26	564	1525
27	583	1501
28	605	1483
29	626	1461
30	647	1440
31	657	1397
32	680	1381
33	708	1375
34	729	1354
35	747	1329
36	770	1312
37	787	1284
38	803	1256
39	829	1244
40	839	1207
41	864	1193
42	873	1158
43	898	1142
44	918	1122
45	928	1090
46	959	1081
47	980	1062
48	994	1034
49	1010	1010
50	1029	988
51	1049	968
52	1067	946
53	1085	924
54	1098	898
55	1115	876
56	1130	852
57	1143	828
58	1164	809
59	1177	784
60	1193	762
61	1209	741
62	1214	713
63	1230	691
64	1243	669
65	1261	649
66	1275	628
67	1294	609
68	1313	590
69	1334	571
70	1346	549
71	1368	532
72	1381	511
73	1388	487
74	1403	467
75	1432	452
76	1470	439
77	1497	422
78	1511	401
79	1530	382
80	1574	369
81	1611	353
82	1628	333
83	1642	312
84	1671	295
85	1699	276
86	1715	256
87	1725	235
88	1745	215
89	1753	194
90	1776	175
91	1787	155
92	1811	136
93	1828	116
94	1847	97
95	1864	77
96	1885	58
97	1902	38
98	1918	19
99	1927	0
